Report_Name,Title Master Report
Report_ID,TR
Release,5
Institution_Name,"University of Mary Washington"
Institution_ID,CUP:8a9402095413b9bc015413e3df7216b0
Metric_Types,Total_Item_Investigations; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests; No_License; Limit_Exceeded
Report_Filters,Data_Type=Book|Journal
Report_Attributes,Attributes_To_Show=Access_Method|Data_Type|Access_Type|Section_Type|YOP
Exceptions,"3060: Invalid ReportFilter Value (Request contained one or more filter values that are not supported by the server: Data_Type was invalid with the value(s) Platform); 3060: Invalid ReportFilter Value (Request contained one or more filter values that are not supported by the server: Access_Type was invalid with the value(s) Other_Free_To_Read)"
Reporting_Period,Begin_Date=2020-07-01; End_Date=2021-06-30
Created,2022-01-12T19:10:00Z
Created_By,Cambridge Core

Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,ISBN,Print_ISSN,Online_ISSN,URI,Data_Type,Section_Type,YOP,Access_Type,Access_Method,Metric_Type,Reporting_Period_Total,Jul-2020,Aug-2020,Sep-2020,Oct-2020,Nov-2020,Dec-2020,Jan-2021,Feb-2021,Mar-2021,Apr-2021,May-2021,Jun-2021
"The Cambridge History of British Theatre",Cambridge University Press,,Cambridge Core,10.1017/CHOL9780521650687,CUP:Cambridge Histories,978-1-139-05406-5,,,https://doi.org/10.1017/CHOL9780521650687,Book,Chapter,"2004",Controlled,Regular,Unique_Item_Requests,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The Cambridge History of British Theatre",Cambridge University Press,,Cambridge Core,10.1017/CHOL9780521650687,CUP:Cambridge Histories,978-1-139-05406-5,,,https://doi.org/10.1017/CHOL9780521650687,Book,Chapter,"2004",Controlled,Regular,No_License,4,0,0,4,0,0,0,0,0,0,0,0,0,
"The Cambridge History of British Theatre",Cambridge University Press,,Cambridge Core,10.1017/CHOL9780521650687,CUP:Cambridge Histories,978-1-139-05406-5,,,https://doi.org/10.1017/CHOL9780521650687,Book,,"2004",Controlled,Regular,Unique_Title_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The Cambridge History of British Theatre",Cambridge University Press,,Cambridge Core,10.1017/CHOL9780521650687,CUP:Cambridge Histories,978-1-139-05406-5,,,https://doi.org/10.1017/CHOL9780521650687,Book,,"2004",Controlled,Regular,Unique_Title_Requests,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Beckett: Waiting for Godot",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511802492,,978-0-511-80249-2,,,https://doi.org/10.1017/CBO9780511802492,Book,Book,"2004",Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Beckett: Waiting for Godot",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511802492,,978-0-511-80249-2,,,https://doi.org/10.1017/CBO9780511802492,Book,Book,"2004",Controlled,Regular,No_License,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Beckett: Waiting for Godot",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511802492,,978-0-511-80249-2,,,https://doi.org/10.1017/CBO9780511802492,Book,,"2004",Controlled,Regular,Unique_Title_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Peace Treaties and International Law in European History",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511494239,,978-0-511-49423-9,,,https://doi.org/10.1017/CBO9780511494239,Book,Chapter,"2004",Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Peace Treaties and International Law in European History",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511494239,,978-0-511-49423-9,,,https://doi.org/10.1017/CBO9780511494239,Book,Chapter,"2004",Controlled,Regular,No_License,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Peace Treaties and International Law in European History",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511494239,,978-0-511-49423-9,,,https://doi.org/10.1017/CBO9780511494239,Book,,"2004",Controlled,Regular,Unique_Title_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The Market Revolution in America",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511818486,,978-0-511-81848-6,,,https://doi.org/10.1017/CBO9780511818486,Book,Book,"2009",Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The Market Revolution in America",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511818486,,978-0-511-81848-6,,,https://doi.org/10.1017/CBO9780511818486,Book,Book,"2009",Controlled,Regular,No_License,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The Market Revolution in America",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511818486,,978-0-511-81848-6,,,https://doi.org/10.1017/CBO9780511818486,Book,,"2009",Controlled,Regular,Unique_Title_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The Cambridge Handbook of Endangered Languages",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511975981,,978-0-511-97598-1,,,https://doi.org/10.1017/CBO9780511975981,Book,Chapter,"2011",Controlled,Regular,Total_Item_Investigations,4,0,0,3,1,0,0,0,0,0,0,0,0,
"The Cambridge Handbook of Endangered Languages",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511975981,,978-0-511-97598-1,,,https://doi.org/10.1017/CBO9780511975981,Book,Chapter,"2011",Controlled,Regular,No_License,8,0,0,7,1,0,0,0,0,0,0,0,0,
"The Cambridge Handbook of Endangered Languages",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511975981,,978-0-511-97598-1,,,https://doi.org/10.1017/CBO9780511975981,Book,,"2011",Controlled,Regular,Unique_Title_Investigations,3,0,0,2,1,0,0,0,0,0,0,0,0,
"Modern American Drama on Screen",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511843709,,978-0-511-84370-9,,,https://doi.org/10.1017/CBO9780511843709,Book,Chapter,"2013",Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Modern American Drama on Screen",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511843709,,978-0-511-84370-9,,,https://doi.org/10.1017/CBO9780511843709,Book,Chapter,"2013",Controlled,Regular,No_License,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Modern American Drama on Screen",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511843709,,978-0-511-84370-9,,,https://doi.org/10.1017/CBO9780511843709,Book,,"2013",Controlled,Regular,Unique_Title_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Writing Africa in the Short Story",Boydell & Brewer,,Cambridge Core,,,978-1-78204-196-2,,,https://www.cambridge.org/core/product/identifier/9781782041962/type/book,Book,Chapter,"2013",Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Writing Africa in the Short Story",Boydell & Brewer,,Cambridge Core,,,978-1-78204-196-2,,,https://www.cambridge.org/core/product/identifier/9781782041962/type/book,Book,Chapter,"2013",Controlled,Regular,No_License,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Writing Africa in the Short Story",Boydell & Brewer,,Cambridge Core,,,978-1-78204-196-2,,,https://www.cambridge.org/core/product/identifier/9781782041962/type/book,Book,,"2013",Controlled,Regular,Unique_Title_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Security",Cambridge University Press,,Cambridge Core,10.1017/CBO9781316227671,,978-1-316-22767-1,,,https://doi.org/10.1017/CBO9781316227671,Book,Chapter,"2015",Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Security",Cambridge University Press,,Cambridge Core,10.1017/CBO9781316227671,,978-1-316-22767-1,,,https://doi.org/10.1017/CBO9781316227671,Book,Chapter,"2015",Controlled,Regular,No_License,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Security",Cambridge University Press,,Cambridge Core,10.1017/CBO9781316227671,,978-1-316-22767-1,,,https://doi.org/10.1017/CBO9781316227671,Book,,"2015",Controlled,Regular,Unique_Title_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The Cambridge Descartes Lexicon",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511894695,,978-0-511-89469-5,,,https://doi.org/10.1017/CBO9780511894695,Book,Chapter,"2015",Controlled,Regular,Total_Item_Investigations,2,0,0,1,0,0,0,0,0,1,0,0,0,
"The Cambridge Descartes Lexicon",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511894695,,978-0-511-89469-5,,,https://doi.org/10.1017/CBO9780511894695,Book,Chapter,"2015",Controlled,Regular,No_License,2,0,0,1,0,0,0,0,0,1,0,0,0,
"The Cambridge Descartes Lexicon",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511894695,,978-0-511-89469-5,,,https://doi.org/10.1017/CBO9780511894695,Book,,"2015",Controlled,Regular,Unique_Title_Investigations,2,0,0,1,0,0,0,0,0,1,0,0,0,
"The Aztec Economic World",Cambridge University Press,,Cambridge Core,10.1017/CBO9781316537350,,978-1-316-53735-0,,,https://doi.org/10.1017/CBO9781316537350,Book,Chapter,"2016",Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The Aztec Economic World",Cambridge University Press,,Cambridge Core,10.1017/CBO9781316537350,,978-1-316-53735-0,,,https://doi.org/10.1017/CBO9781316537350,Book,Chapter,"2016",Controlled,Regular,No_License,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The Aztec Economic World",Cambridge University Press,,Cambridge Core,10.1017/CBO9781316537350,,978-1-316-53735-0,,,https://doi.org/10.1017/CBO9781316537350,Book,,"2016",Controlled,Regular,Unique_Title_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The Archaeology of the Caucasus",Cambridge University Press,,Cambridge Core,10.1017/9781139061254,,978-1-139-06125-4,,,https://doi.org/10.1017/9781139061254,Book,Chapter,"2017",Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The Archaeology of the Caucasus",Cambridge University Press,,Cambridge Core,10.1017/9781139061254,,978-1-139-06125-4,,,https://doi.org/10.1017/9781139061254,Book,Chapter,"2017",Controlled,Regular,No_License,2,0,0,2,0,0,0,0,0,0,0,0,0,
"The Archaeology of the Caucasus",Cambridge University Press,,Cambridge Core,10.1017/9781139061254,,978-1-139-06125-4,,,https://doi.org/10.1017/9781139061254,Book,,"2017",Controlled,Regular,Unique_Title_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Trust in Early Modern International Political Thought, 1598â1713",Cambridge University Press,,Cambridge Core,10.1017/9781316798515,,978-1-316-79851-5,,,https://doi.org/10.1017/9781316798515,Book,Chapter,"2017",Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Trust in Early Modern International Political Thought, 1598â1713",Cambridge University Press,,Cambridge Core,10.1017/9781316798515,,978-1-316-79851-5,,,https://doi.org/10.1017/9781316798515,Book,Chapter,"2017",Controlled,Regular,No_License,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Trust in Early Modern International Political Thought, 1598â1713",Cambridge University Press,,Cambridge Core,10.1017/9781316798515,,978-1-316-79851-5,,,https://doi.org/10.1017/9781316798515,Book,,"2017",Controlled,Regular,Unique_Title_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Animal Subjects",Cambridge University Press,,Cambridge Core,10.1017/9781108552752,,978-1-108-55275-2,,,https://doi.org/10.1017/9781108552752,Book,Chapter,"2018",Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Animal Subjects",Cambridge University Press,,Cambridge Core,10.1017/9781108552752,,978-1-108-55275-2,,,https://doi.org/10.1017/9781108552752,Book,Chapter,"2018",Controlled,Regular,No_License,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Animal Subjects",Cambridge University Press,,Cambridge Core,10.1017/9781108552752,,978-1-108-55275-2,,,https://doi.org/10.1017/9781108552752,Book,,"2018",Controlled,Regular,Unique_Title_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Abstract Algebra with Applications",Cambridge University Press,,Cambridge Core,10.1017/9781316685013,CUP:Textbooks on Cambridge Core,978-1-316-68501-3,,,https://doi.org/10.1017/9781316685013,Book,Chapter,"2018",Controlled,Regular,Total_Item_Investigations,5,0,0,1,0,4,0,0,0,0,0,0,0,
"Abstract Algebra with Applications",Cambridge University Press,,Cambridge Core,10.1017/9781316685013,CUP:Textbooks on Cambridge Core,978-1-316-68501-3,,,https://doi.org/10.1017/9781316685013,Book,Chapter,"2018",Controlled,Regular,No_License,5,0,0,1,0,4,0,0,0,0,0,0,0,
"Abstract Algebra with Applications",Cambridge University Press,,Cambridge Core,10.1017/9781316685013,CUP:Textbooks on Cambridge Core,978-1-316-68501-3,,,https://doi.org/10.1017/9781316685013,Book,,"2018",Controlled,Regular,Unique_Title_Investigations,3,0,0,1,0,2,0,0,0,0,0,0,0,
"Authors and Authorities in Ancient Philosophy",Cambridge University Press,,Cambridge Core,10.1017/9781108186650,,978-1-108-18665-0,,,https://doi.org/10.1017/9781108186650,Book,Chapter,"2018",Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Authors and Authorities in Ancient Philosophy",Cambridge University Press,,Cambridge Core,10.1017/9781108186650,,978-1-108-18665-0,,,https://doi.org/10.1017/9781108186650,Book,Chapter,"2018",Controlled,Regular,No_License,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Authors and Authorities in Ancient Philosophy",Cambridge University Press,,Cambridge Core,10.1017/9781108186650,,978-1-108-18665-0,,,https://doi.org/10.1017/9781108186650,Book,,"2018",Controlled,Regular,Unique_Title_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Feminism and the Servant Problem",Cambridge University Press,,Cambridge Core,10.1017/9781108603263,,978-1-108-60326-3,,,https://doi.org/10.1017/9781108603263,Book,Chapter,"2019",Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Feminism and the Servant Problem",Cambridge University Press,,Cambridge Core,10.1017/9781108603263,,978-1-108-60326-3,,,https://doi.org/10.1017/9781108603263,Book,Chapter,"2019",Controlled,Regular,No_License,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Feminism and the Servant Problem",Cambridge University Press,,Cambridge Core,10.1017/9781108603263,,978-1-108-60326-3,,,https://doi.org/10.1017/9781108603263,Book,,"2019",Controlled,Regular,Unique_Title_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The Faust Legend",Cambridge University Press,,Cambridge Core,10.1017/9781108614290,,978-1-108-61429-0,,,https://doi.org/10.1017/9781108614290,Book,Chapter,"2019",Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The Faust Legend",Cambridge University Press,,Cambridge Core,10.1017/9781108614290,,978-1-108-61429-0,,,https://doi.org/10.1017/9781108614290,Book,Chapter,"2019",Controlled,Regular,No_License,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The Faust Legend",Cambridge University Press,,Cambridge Core,10.1017/9781108614290,,978-1-108-61429-0,,,https://doi.org/10.1017/9781108614290,Book,,"2019",Controlled,Regular,Unique_Title_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The Citizen's Guide to Climate Success",Cambridge University Press,,Cambridge Core,10.1017/9781108783453,,978-1-108-78345-3,,,https://doi.org/10.1017/9781108783453,Book,Book,"2020",OA_Gold,Regular,Total_Item_Investigations,4,0,0,1,3,0,0,0,0,0,0,0,0,
"The Citizen's Guide to Climate Success",Cambridge University Press,,Cambridge Core,10.1017/9781108783453,,978-1-108-78345-3,,,https://doi.org/10.1017/9781108783453,Book,,"2020",OA_Gold,Regular,Unique_Title_Investigations,2,0,0,1,1,0,0,0,0,0,0,0,0,
"Shakespeare Survey",Cambridge University Press,,Cambridge Core,10.1017/CCOL0521064279,CUP:Shakespeare Survey,978-1-139-05294-8,,,https://doi.org/10.1017/CCOL0521064279,Book,Chapter,"1961",Controlled,Regular,Total_Item_Investigations,2,0,0,0,2,0,0,0,0,0,0,0,0,
"Shakespeare Survey",Cambridge University Press,,Cambridge Core,10.1017/CCOL0521064279,CUP:Shakespeare Survey,978-1-139-05294-8,,,https://doi.org/10.1017/CCOL0521064279,Book,Chapter,"1961",Controlled,Regular,No_License,2,0,0,0,2,0,0,0,0,0,0,0,0,
"Shakespeare Survey",Cambridge University Press,,Cambridge Core,10.1017/CCOL0521064279,CUP:Shakespeare Survey,978-1-139-05294-8,,,https://doi.org/10.1017/CCOL0521064279,Book,,"1961",Controlled,Regular,Unique_Title_Investigations,1,0,0,0,1,0,0,0,0,0,0,0,0,
"Studies in Latin Language and Literature",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511933745,,978-0-511-93374-5,,,https://doi.org/10.1017/CBO9780511933745,Book,Chapter,"1973",Controlled,Regular,Total_Item_Investigations,2,0,0,0,2,0,0,0,0,0,0,0,0,
"Studies in Latin Language and Literature",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511933745,,978-0-511-93374-5,,,https://doi.org/10.1017/CBO9780511933745,Book,Chapter,"1973",Controlled,Regular,No_License,2,0,0,0,2,0,0,0,0,0,0,0,0,
"Studies in Latin Language and Literature",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511933745,,978-0-511-93374-5,,,https://doi.org/10.1017/CBO9780511933745,Book,,"1973",Controlled,Regular,Unique_Title_Investigations,2,0,0,0,2,0,0,0,0,0,0,0,0,
"Philosophy of Logics",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511812866,,978-0-511-81286-6,,,https://doi.org/10.1017/CBO9780511812866,Book,Chapter,"1978",Controlled,Regular,Total_Item_Investigations,2,0,0,0,2,0,0,0,0,0,0,0,0,
"Philosophy of Logics",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511812866,,978-0-511-81286-6,,,https://doi.org/10.1017/CBO9780511812866,Book,Chapter,"1978",Controlled,Regular,No_License,2,0,0,0,2,0,0,0,0,0,0,0,0,
"Philosophy of Logics",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511812866,,978-0-511-81286-6,,,https://doi.org/10.1017/CBO9780511812866,Book,,"1978",Controlled,Regular,Unique_Title_Investigations,1,0,0,0,1,0,0,0,0,0,0,0,0,
"The Cambridge Companion to Kant",Cambridge University Press,,Cambridge Core,10.1017/CCOL0521365872,CUP:Cambridge Companions,978-1-139-00053-6,,,https://doi.org/10.1017/CCOL0521365872,Book,Chapter,"1992",Controlled,Regular,Total_Item_Investigations,1,0,0,0,1,0,0,0,0,0,0,0,0,
"The Cambridge Companion to Kant",Cambridge University Press,,Cambridge Core,10.1017/CCOL0521365872,CUP:Cambridge Companions,978-1-139-00053-6,,,https://doi.org/10.1017/CCOL0521365872,Book,Chapter,"1992",Controlled,Regular,No_License,1,0,0,0,1,0,0,0,0,0,0,0,0,
"The Cambridge Companion to Kant",Cambridge University Press,,Cambridge Core,10.1017/CCOL0521365872,CUP:Cambridge Companions,978-1-139-00053-6,,,https://doi.org/10.1017/CCOL0521365872,Book,,"1992",Controlled,Regular,Unique_Title_Investigations,1,0,0,0,1,0,0,0,0,0,0,0,0,
"Locke: Political Essays",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511810251,CUP:Textbooks on Cambridge Core,978-0-511-81025-1,,,https://doi.org/10.1017/CBO9780511810251,Book,Book,"1997",Controlled,Regular,Total_Item_Investigations,1,0,0,0,1,0,0,0,0,0,0,0,0,
"Locke: Political Essays",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511810251,CUP:Textbooks on Cambridge Core,978-0-511-81025-1,,,https://doi.org/10.1017/CBO9780511810251,Book,Book,"1997",Controlled,Regular,No_License,1,0,0,0,1,0,0,0,0,0,0,0,0,
"Locke: Political Essays",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511810251,CUP:Textbooks on Cambridge Core,978-0-511-81025-1,,,https://doi.org/10.1017/CBO9780511810251,Book,,"1997",Controlled,Regular,Unique_Title_Investigations,1,0,0,0,1,0,0,0,0,0,0,0,0,
"Milton and Heresy",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511549335,,978-0-511-54933-5,,,https://doi.org/10.1017/CBO9780511549335,Book,Chapter,"1998",Controlled,Regular,Total_Item_Investigations,1,0,0,0,1,0,0,0,0,0,0,0,0,
"Milton and Heresy",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511549335,,978-0-511-54933-5,,,https://doi.org/10.1017/CBO9780511549335,Book,Chapter,"1998",Controlled,Regular,No_License,1,0,0,0,1,0,0,0,0,0,0,0,0,
"Milton and Heresy",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511549335,,978-0-511-54933-5,,,https://doi.org/10.1017/CBO9780511549335,Book,,"1998",Controlled,Regular,Unique_Title_Investigations,1,0,0,0,1,0,0,0,0,0,0,0,0,
"In Search of Respect",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511808562,,978-0-511-80856-2,,,https://doi.org/10.1017/CBO9780511808562,Book,Chapter,"2002",Controlled,Regular,Total_Item_Investigations,6,0,0,0,3,2,0,0,1,0,0,0,0,
"In Search of Respect",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511808562,,978-0-511-80856-2,,,https://doi.org/10.1017/CBO9780511808562,Book,Chapter,"2002",Controlled,Regular,No_License,6,0,0,0,3,2,0,0,1,0,0,0,0,
"In Search of Respect",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511808562,,978-0-511-80856-2,,,https://doi.org/10.1017/CBO9780511808562,Book,,"2002",Controlled,Regular,Unique_Title_Investigations,3,0,0,0,1,1,0,0,1,0,0,0,0,
"Medieval Concepts of the Past",Cambridge University Press,,Cambridge Core,10.1017/CBO9781139052320,,978-1-139-05232-0,,,https://doi.org/10.1017/CBO9781139052320,Book,Chapter,"2002",Controlled,Regular,Total_Item_Investigations,1,0,0,0,1,0,0,0,0,0,0,0,0,
"Medieval Concepts of the Past",Cambridge University Press,,Cambridge Core,10.1017/CBO9781139052320,,978-1-139-05232-0,,,https://doi.org/10.1017/CBO9781139052320,Book,Chapter,"2002",Controlled,Regular,No_License,1,0,0,0,1,0,0,0,0,0,0,0,0,
"Medieval Concepts of the Past",Cambridge University Press,,Cambridge Core,10.1017/CBO9781139052320,,978-1-139-05232-0,,,https://doi.org/10.1017/CBO9781139052320,Book,,"2002",Controlled,Regular,Unique_Title_Investigations,1,0,0,0,1,0,0,0,0,0,0,0,0,
