title,vendor,publisher,platform,isbn,issn,eissn,yop,access_type,access_method,metric,total
Only Yesterday: An Informal History of the 1920's (Wiley investment classics),EBSCO,Wiley,EBSCOhost,978-0-471-18952-7,,,1997,Controlled,Regular,Unique Title Requests,1
"Medical Imaging Physics, Fourth Edition",Wiley,Wiley,Wiley Online Library,978-0-471-22115-9,,,2002,Controlled,Regular,Unique Title Requests,3
Managing Risk in Nonprofit Organizations: A Comprehensive Guide,EBSCO,John Wiley & Sons Incorporated,EBSCOhost,978-0-471-23674-0,,,2004,Controlled,Regular,Unique Title Requests,3
Louisiana Purchase (Turning points),EBSCO,John Wiley & Sons Incorporated,EBSCOhost,978-0-471-26738-6,,,2003,Controlled,Regular,Unique Title Requests,1
Portable MBA in Project Management (Portable MBA series),EBSCO,Wiley,EBSCOhost,978-0-471-26899-4,,,2003,Controlled,Regular,Unique Title Requests,1
"Assessment, Treatment, and Prevention of Suicidal Behavior",EBSCO,John Wiley & Sons Incorporated,EBSCOhost,978-0-471-27264-9,,,2004,Controlled,Regular,Unique Title Requests,2
Managing the Risks of Payment Systems,EBSCO,John Wiley & Sons Incorporated,EBSCOhost,978-0-471-32848-3,,,2003,Controlled,Regular,Unique Title Requests,1
Handbook of the Psychology of Women and Gender,EBSCO,Wiley,EBSCOhost,978-0-471-33332-6,,,2001,Controlled,Regular,Unique Title Requests,1
"Enzymes: A Practical Introduction to Structure,  Mechanism, and Data Analysis, 2nd Edition",EBSCO,John Wiley & Sons Incorporated,EBSCOhost,978-0-471-35929-6,,,2000,Controlled,Regular,Unique Title Requests,1
Recipe Writer's Handbook,EBSCO,Wiley,EBSCOhost,978-0-471-40545-0,,,2001,Controlled,Regular,Unique Title Requests,1
Risk Management Process: Business Strategy and Tactics,EBSCO,John Wiley & Sons Incorporated,EBSCOhost,978-0-471-40554-2,,,2001,Controlled,Regular,Unique Title Requests,4
Handbook of Psychological Assessment,EBSCO,John Wiley & Sons Incorporated,EBSCOhost,978-0-471-41979-2,,,2003,Controlled,Regular,Unique Title Requests,1
Financial Risk Manager Handbook,EBSCO,Wiley,EBSCOhost,978-0-471-43003-2,,,2003,Controlled,Regular,Unique Title Requests,1
"Civil War and Reconstruction (American heritage, American voices)",EBSCO,John Wiley & Sons Incorporated,EBSCOhost,978-0-471-44393-3,,,2003,Controlled,Regular,Unique Title Requests,1
"MRI: Basic Principles and Applications, Third Edition",Wiley,Wiley,Wiley Online Library,978-0-471-46793-9,,,2003,Controlled,Regular,Unique Title Requests,1
Quantitative Methods in Population Health: Extensions of Ordinary Regression,Wiley,Wiley,Wiley Online Library,978-0-471-46797-7,,,2003,Controlled,Regular,Unique Title Requests,1
"Investment Management : Portfolio Diversification, Risk, and Timing--Fact and Fiction",ProQuest,"John Wiley & Sons, Incorporated",ProQuest Ebook Central,978-0-471-46920-9,,,2003,Controlled,Regular,Unique Title Requests,1
"Risk Modeling, Assessment, and Management (Wiley series in system engineering and management)",EBSCO,John Wiley & Sons Incorporated,EBSCOhost,978-0-471-48048-8,,,2004,Controlled,Regular,Unique Title Requests,1
From Genes to Genomes - Concepts & Applications of DNA Technology,EBSCO,John Wiley & Sons Incorporated,EBSCOhost,978-0-471-49782-0,,,2002,Controlled,Regular,Unique Title Requests,1
"Managing Reputational Risk: Curbing Threats, Leveraging Opportunities (IIA series)",EBSCO,Wiley,EBSCOhost,978-0-471-49951-0,,,2003,Controlled,Regular,Unique Title Requests,1
Strategies for Building Multicultural Competence in Mental Health and Educational Settings,EBSCO,John Wiley & Sons Incorporated,EBSCOhost,978-0-471-66732-2,,,2005,Controlled,Regular,Unique Title Requests,1
Nonprofit Internet Strategies,ProQuest,"John Wiley & Sons, Incorporated",ProQuest Ebook Central,978-0-471-69188-4,,,2005,Controlled,Regular,Unique Title Requests,2
Fast Forward MBA in Project Management (The portable MBA The fast forward MBA),EBSCO,John Wiley & Sons,EBSCOhost,978-0-471-69284-3,,,2005,Controlled,Regular,Unique Title Requests,1
The Practical Guide to Project Management Documentation,ProQuest,"John Wiley & Sons, Incorporated",ProQuest Ebook Central,978-0-471-69309-3,,,2004,Controlled,Regular,Unique Title Requests,2
Essentials of Financial Risk Management,ProQuest,"John Wiley & Sons, Incorporated",ProQuest Ebook Central,978-0-471-70616-8,,,2005,Controlled,Regular,Unique Title Requests,5
"Frank Lloyd Wright, His Life and His Architecture",EBSCO,Wiley,EBSCOhost,978-0-471-85797-6,,,1979,Controlled,Regular,Unique Title Requests,1
Politics in the Pews : The Political Mobilization of Black Churches,ProQuest,University of Michigan Press,ProQuest Ebook Central,978-0-472-05046-8,,,2008,Controlled,Regular,Unique Title Requests,1
Life and Thought in the Ancient near East,ProQuest,University of Michigan Press,ProQuest Ebook Central,978-0-472-06992-7,,,2007,Controlled,Regular,Unique Title Requests,1
Rhythms of the Afro-Atlantic World,JSTOR,University of Michigan Press,JSTOR,978-04-72070-96-1,,,2010,Controlled,Regular,Unique Title Requests,1
The Jazz Republic,JSTOR,University of Michigan Press,JSTOR,978-04-72073-40-5,,,2017,Controlled,Regular,Unique Title Requests,1
Academic Ableism,JSTOR,University of Michigan Press,JSTOR,978-04-72073-71-9,,,2017,Controlled,Regular,Unique Title Requests,3
"Early Film Culture in Hong Kong, Taiwan, and Republican China",JSTOR,University of Michigan Press,JSTOR,978-04-72073-72-6,,,2018,Controlled,Regular,Unique Title Requests,4
#identity,JSTOR,University of Michigan Press,JSTOR,978-04-72074-15-0,,,2019,Controlled,Regular,Unique Title Requests,8
Harmony and the Balance,ProQuest,University of Michigan Press,ProQuest Ebook Central,978-0-472-11143-5,,,2000,Controlled,Regular,Unique Title Requests,3
Present Shock in Late Fifth-Century Greece,ProQuest,University of Michigan Press,ProQuest Ebook Central,978-0-472-11616-4,,,2007,Controlled,Regular,Unique Title Requests,1
The Unknown Odysseus : Alternate Worlds in Homer's Odyssey,ProQuest,University of Michigan Press,ProQuest Ebook Central,978-0-472-11673-7,,,2008,Controlled,Regular,Unique Title Requests,7
Teaching about Religions,ProQuest,University of Michigan Press,ProQuest Ebook Central,978-0-472-11764-2,,,2011,Controlled,Regular,Unique Title Requests,1
From Villain to Hero : Odysseus in Ancient Thought,ProQuest,University of Michigan Press,ProQuest Ebook Central,978-0-472-11774-1,,,2011,Controlled,Regular,Unique Title Requests,4
Community Identity and Archaeology,ProQuest,University of Michigan Press,ProQuest Ebook Central,978-0-472-11786-4,,,2011,Controlled,Regular,Unique Title Requests,3
Decentralization and Popular Democracy,ProQuest,University of Michigan Press,ProQuest Ebook Central,978-0-472-11819-9,,,2012,Controlled,Regular,Unique Title Requests,1
Cultural Histories of the Material World : Cultural Histories of the Material World,ProQuest,University of Michigan Press,ProQuest Ebook Central,978-0-472-11891-5,,,2013,Controlled,Regular,Unique Title Requests,1
Arguments with Silence : Writing the History of Roman Women,ProQuest,University of Michigan Press,ProQuest Ebook Central,978-0-472-11925-7,,,2014,Controlled,Regular,Unique Title Requests,2
Anatomy of a Civil War,JSTOR,University of Michigan Press,JSTOR,978-04-72131-00-6,,,2018,Controlled,Regular,Unique Title Requests,5
Drones and Support for the Use of Force,JSTOR,University of Michigan Press,JSTOR,978-04-72131-01-3,,,2018,Controlled,Regular,Unique Title Requests,1
Digital Rhetoric,JSTOR,University of Michigan Press,JSTOR,978-04-72900-11-4,,,2015,Controlled,Regular,Unique Title Requests,5
Imagining the Global,JSTOR,University of Michigan Press,JSTOR,978-04-72900-15-2,,,2015,Controlled,Regular,Unique Title Requests,1
Owning the Olympics,JSTOR,University of Michigan Press,JSTOR,978-04-72900-49-7,,,2008,Controlled,Regular,Unique Title Requests,1
China and the West,JSTOR,University of Michigan Press,JSTOR,978-04-72900-75-6,,,2017,Controlled,Regular,Unique Title Requests,1
The Black Musician and the White City,JSTOR,University of Michigan Press,JSTOR,978-04-72900-96-1,,,2014,Controlled,Regular,Unique Title Requests,1
Mongrel Nation,JSTOR,University of Michigan Press,JSTOR,978-04-72900-97-8,,,2007,Controlled,Regular,Unique Title Requests,8
Late Sophocles,JSTOR,University of Michigan Press,JSTOR,978-04-72901-07-4,,,2015,Controlled,Regular,Unique Title Requests,2
Art of the Gawain-Poet,ProQuest,Bloomsbury Publishing Plc,ProQuest Ebook Central,978-0-485-12050-9,,,2001,Controlled,Regular,Unique Title Requests,2
"Jane Austen, Feminism and Fiction",ProQuest,Bloomsbury Publishing Plc,ProQuest Ebook Central,978-0-485-12129-2,,,2000,Controlled,Regular,Unique Title Requests,1
Animal Motifs in Asian Art : An Illustrated Guide to Their Meanings and Aesthetics,ProQuest,Dover Publications,ProQuest Ebook Central,978-0-486-43338-7,,,2014,Controlled,Regular,Unique Title Requests,3
A Date with a Dish : Classic African-American Recipes,ProQuest,Dover Publications,ProQuest Ebook Central,978-0-486-49276-6,,,2014,Controlled,Regular,Unique Title Requests,1
Life in Mexico,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-04662-7,,,1982,Controlled,Regular,Unique Title Requests,1
"From Popular Sovereignty to the Sovereignty of Law: Law, Society, and Politics in Fifth-century Athens",EBSCO,University of California Press,EBSCOhost,978-0-520-05426-4,,,1986,Controlled,Regular,Unique Title Requests,1
Military State Latin Am,EBSCO,University of California Press,EBSCOhost,978-0-520-05559-9,,,1987,Controlled,Regular,Unique Title Requests,1
Contemporary Chinese Historical Drama: Four Studies,EBSCO,University of California Press,EBSCOhost,978-0-520-05954-2,,,1990,Controlled,Regular,Unique Title Requests,2
Heritage of China: Contemporary Perspectives on Chinese Civilization,EBSCO,University of California Press,EBSCOhost,978-0-520-06440-9,,,1990,Controlled,Regular,Unique Title Requests,1
Leningrad: Shaping a Soviet City (Lane studies in regional government),EBSCO,University of California Press,EBSCOhost,978-0-520-06534-5,,,1990,Controlled,Regular,Unique Title Requests,1
Cultures of Solidarity,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-06795-0,,,1989,Controlled,Regular,Unique Title Requests,2
Marriage and Inequality in Chinese Society (Studies on China ; 12),EBSCO,University of California Press,EBSCOhost,978-0-520-06930-5,,,1991,Controlled,Regular,Unique Title Requests,1
"Bananas, Beaches and Bases: Making Feminist Sense of International Politics",EBSCO,University of California Press,EBSCOhost,978-0-520-06985-5,,,1990,Controlled,Regular,Unique Title Requests,2
"Recreating Japanese Women, 1600-1945",EBSCO,University of California Press,EBSCOhost,978-0-520-07017-2,,,1990,Controlled,Regular,Unique Title Requests,3
Polyhymnia: The Rhetoric of Horatian Lyric Discourse,EBSCO,University of California Press,EBSCOhost,978-0-520-07077-6,,,1991,Controlled,Regular,Unique Title Requests,18
Science of Impurity: Water Analysis in Nineteenth Century Britain,EBSCO,University of California Press,EBSCOhost,978-0-520-07088-2,,,1990,Controlled,Regular,Unique Title Requests,2
Brushes With Power: Modern Politics and the Chinese Art of Calligraphy,EBSCO,University of California Press,EBSCOhost,978-0-520-07285-5,,,1991,Controlled,Regular,Unique Title Requests,1
Postwar Japan as History,EBSCO,University of California Press,EBSCOhost,978-0-520-07474-3,,,1991,Controlled,Regular,Unique Title Requests,2
From Colonia to Community: The History of Puerto Ricans in New York City (Latinos in American society and culture ; 5),EBSCO,University of California Press,EBSCOhost,978-0-520-07900-7,,,1994,Controlled,Regular,Unique Title Requests,1
Musicology and Difference: Gender and Sexuality in Music Scholarship,EBSCO,University of California Press,EBSCOhost,978-0-520-07927-4,,,1993,Controlled,Regular,Unique Title Requests,1
Voyage of Rediscovery: A Cultural Odyssey Through Polynesia,EBSCO,University of California Press,EBSCOhost,978-0-520-08002-7,,,1994,Controlled,Regular,Unique Title Requests,1
Carnal Israel: Reading Sex in Talmudic Culture (The New historicism ; 25),EBSCO,University of California Press,EBSCOhost,978-0-520-08012-6,,,1995,Controlled,Regular,Unique Title Requests,1
Dr. Strangelove's America: Society and Culture in the Atomic Age,EBSCO,University of California Press,EBSCOhost,978-0-520-08310-3,,,1997,Controlled,Regular,Unique Title Requests,1
Deep Politics and the Death of JFK,EBSCO,University of California Press,EBSCOhost,978-0-520-08410-0,,,1993,Controlled,Regular,Unique Title Requests,2
"Tangled Memories: The Vietnam War, the AIDS Epidemic, and the Politics of Remembering",EBSCO,University of California Press,EBSCOhost,978-0-520-08653-1,,,1997,Controlled,Regular,Unique Title Requests,1
Iconography of Power: Soviet Political Posters Under Lenin and Stalin (Studies on the history of society and culture ; 27),EBSCO,University of California Press,EBSCOhost,978-0-520-08712-5,,,1997,Controlled,Regular,Unique Title Requests,1
Between Two Worlds: The Construction of the Ottoman State,EBSCO,University of California Press,EBSCOhost,978-0-520-08807-8,,,1991,Controlled,Regular,Unique Title Requests,2
"Haiti, History, and the Gods",EBSCO,University of California Press,EBSCOhost,978-0-520-08900-6,,,1995,Controlled,Regular,Unique Title Requests,1
"Engendering the Chinese Revolution: Radical Women, Communist Politics, and Mass Movements in the 1920s",EBSCO,University of California Press,EBSCOhost,978-0-520-08981-5,,,1995,Controlled,Regular,Unique Title Requests,1
"Making of a Heretic: Gender, Authority, and the Priscillianist Controversy (transformation of the classical heritage ; 24)",EBSCO,University of California Press,EBSCOhost,978-0-520-08997-6,,,1995,Controlled,Regular,Unique Title Requests,1
Women in China's Long Twentieth Century,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-09856-5,,,2007,Controlled,Regular,Unique Title Requests,7
Sunset Limited,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-20019-7,,,2005,Controlled,Regular,Unique Title Requests,4
Women Writing Culture,EBSCO,University of California Press,EBSCOhost,978-0-520-20207-8,,,1995,Controlled,Regular,Unique Title Requests,1
Dangerous Pleasures: Prostitution and Modernity in Twentieth-century Shanghai,EBSCO,University of California Press,EBSCOhost,978-0-520-20438-6,,,1997,Controlled,Regular,Unique Title Requests,11
Essential Codex Mendoza,EBSCO,University of California Press,EBSCOhost,978-0-520-20454-6,,,1997,Controlled,Regular,Unique Title Requests,1
Bridge Betrayed: Religion and Genocide in Bosnia (Comparative studies in religion and society ; 11),EBSCO,University of California Press,EBSCOhost,978-0-520-20690-8,,,1998,Controlled,Regular,Unique Title Requests,2
Hidden Author: An Interpretation of Petronius' Satyricon (Sather classical lectures ; v. 60),EBSCO,University of California Press,EBSCOhost,978-0-520-20715-8,,,1996,Controlled,Regular,Unique Title Requests,1
"White Scourge: Mexicans, Blacks, and Poor Whites in Texas Cotton Culture (American crossroads ; 2)",EBSCO,University of California Press,EBSCOhost,978-0-520-20723-3,,,1997,Controlled,Regular,Unique Title Requests,1
Magnetic Mountain: Stalinism As a Civilization,EBSCO,University of California Press,EBSCOhost,978-0-520-20823-0,,,1995,Controlled,Regular,Unique Title Requests,1
Magnetic Mountain : Stalinism As a Civilization,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-20823-0,,,1997,Controlled,Regular,Unique Title Requests,1
Poetic Garlands: Hellenistic Epigrams in Context (Hellenistic culture and society ; 28),EBSCO,University of California Press,EBSCOhost,978-0-520-20857-5,,,1998,Controlled,Regular,Unique Title Requests,1
Black Magic,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-20987-9,,,2003,Controlled,Regular,Unique Title Requests,1
"Targeting Autism: What We Know, Don't Know, and Can Do to Help Young Children with Autism and Related Disorders",EBSCO,University of California Press,EBSCOhost,978-0-520-21011-0,,,1998,Controlled,Regular,Unique Title Requests,1
"Warfare and Agriculture in Classical Greece, Revised edition",EBSCO,University of California Press,EBSCOhost,978-0-520-21025-7,,,1998,Controlled,Regular,Unique Title Requests,1
Arnolfini Betrothal: Medieval Marriage and the Enigma of Van Eyck's Double Portrait (California studies in the history of art. Discovery series ; 3),EBSCO,University of California Press,EBSCOhost,978-0-520-21221-3,,,1994,Controlled,Regular,Unique Title Requests,1
Jewish Identity in Modern Art History (The S. Mark Taper Foundation imprint in Jewish studies),EBSCO,University of California Press,EBSCOhost,978-0-520-21303-6,,,1999,Controlled,Regular,Unique Title Requests,1
Random Violence: How We Talk About New Crimes and New Victims,EBSCO,University of California Press,EBSCOhost,978-0-520-21571-9,,,1999,Controlled,Regular,Unique Title Requests,1
Restless Dead: Encounters Between the Living and the Dead in Ancient Greece,EBSCO,University of California Press,EBSCOhost,978-0-520-21707-2,,,1999,Controlled,Regular,Unique Title Requests,1
Becoming Chinese,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-21923-6,,,2000,Controlled,Regular,Unique Title Requests,1
Perspectives on the Yi of Southwest China,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-21988-5,,,2001,Controlled,Regular,Unique Title Requests,1
Religion and Popular Culture in America,EBSCO,University of California Press,EBSCOhost,978-0-520-22028-7,,,2000,Controlled,Regular,Unique Title Requests,1
Western Music and Its Others,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-22083-6,,,2000,Controlled,Regular,Unique Title Requests,1
The Memory of the Eyes,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-22205-2,,,2000,Controlled,Regular,Unique Title Requests,1
Terror in the Mind of God: The Global Rise of Religious Violence (Comparative studies in religion and society ; 13),EBSCO,University of California Press,EBSCOhost,978-0-520-22301-1,,,2000,Controlled,Regular,Unique Title Requests,15
The Myth of the Noble Savage,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-22610-4,,,2001,Controlled,Regular,Unique Title Requests,1
"Chinese Visions of Family and State, 1915-1953",ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-22729-3,,,2003,Controlled,Regular,Unique Title Requests,8
Legacies,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-22847-4,,,2001,Controlled,Regular,Unique Title Requests,1
Diasporas and Exiles,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-22864-1,,,2002,Controlled,Regular,Unique Title Requests,1
Colonial Subjects : Puerto Ricans in a Global Perspective,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-23020-0,,,2003,Controlled,Regular,Unique Title Requests,1
"Water and American Government : The Reclamation Bureau, National Water Policy, and the West, 1902-1935",ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-23030-9,,,2002,Controlled,Regular,Unique Title Requests,1
"Blood Politics : Race, Culture, and Identity in the Cherokee Nation of Oklahoma",ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-23097-2,,,2002,Controlled,Regular,Unique Title Requests,3
Singular Women,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-23164-1,,,2003,Controlled,Regular,Unique Title Requests,1
The Gothic Enterprise: A Guide to Understanding the Medieval Cathedral,EBSCO,University of California Press,EBSCOhost,978-0-520-23177-1,,,2003,Controlled,Regular,Unique Title Requests,10
Staged Narrative,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-23180-1,,,2002,Controlled,Regular,Unique Title Requests,1
2000 Years of Mayan Literature,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-23221-1,,,2010,Controlled,Regular,Unique Title Requests,4
Society and Individual in Renaissance Florence,EBSCO,University of California Press,EBSCOhost,978-0-520-23254-9,,,2002,Controlled,Regular,Unique Title Requests,2
Mapping Early Modern Japan,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-23269-3,,,2003,Controlled,Regular,Unique Title Requests,4
"Landscapes, Gender, and Ritual Space",ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-23544-1,,,2004,Controlled,Regular,Unique Title Requests,1
Beethoven after Napoleon,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-23855-8,,,2004,Controlled,Regular,Unique Title Requests,2
Beethoven after Napoleon : Political Romanticism in the Late Works,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-23855-8,,,2004,Controlled,Regular,Unique Title Requests,3
The Monster That Is History,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-23873-2,,,2004,Controlled,Regular,Unique Title Requests,1
"The Monster That Is History : History, Violence, and Fictional Writing in Twentieth-Century China",ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-23873-2,,,2004,Controlled,Regular,Unique Title Requests,2
What I Learned in Medical School: Personal Stories of Young Doctors,EBSCO,University of California Press,EBSCOhost,978-0-520-23936-4,,,2004,Controlled,Regular,Unique Title Requests,1
"Raza Si, Guerra No",ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-24195-4,,,2005,Controlled,Regular,Unique Title Requests,1
The Minsk Ghetto 1941-1943 : Jewish Resistance and Soviet Internationalism,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-24242-5,,,2008,Controlled,Regular,Unique Title Requests,1
Sacred Gaze,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-24306-4,,,2005,Controlled,Regular,Unique Title Requests,1
"The Mother of the Gods, Athens, and the Tyranny of Asia : A Study of Sovereignty in Ancient Religion",ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-24349-1,,,2006,Controlled,Regular,Unique Title Requests,2
Yanomami,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-24404-7,,,2005,Controlled,Regular,Unique Title Requests,4
Millennial Monsters : Japanese Toys and the Global Imagination,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-24565-5,,,2006,Controlled,Regular,Unique Title Requests,2
From Marriage to the Market,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-24646-1,,,2006,Controlled,Regular,Unique Title Requests,1
American Gulag,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-24669-0,,,2004,Controlled,Regular,Unique Title Requests,1
Empire and Revolution : The Americans in Mexico since the Civil War,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-24671-3,,,2002,Controlled,Regular,Unique Title Requests,2
Eating Spring Rice,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-24715-4,,,2007,Controlled,Regular,Unique Title Requests,1
After the Massacre: Commemoration and Consolation in Ha My and My Lai (Asia--local studies/global themes ; 14),EBSCO,University of California Press,EBSCOhost,978-0-520-24796-3,,,2006,Controlled,Regular,Unique Title Requests,34
"Targeting Autism : What We Know, Don't Know, and Can Do to Help Young Children with Autism Spectrum Disorders",ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-24838-0,,,2006,Controlled,Regular,Unique Title Requests,2
AIDS and Accusation,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-24839-7,,,2006,Controlled,Regular,Unique Title Requests,3
Black and Blue,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-24890-8,,,2012,Controlled,Regular,Unique Title Requests,1
Black and Blue : The Origins and Consequences of Medical Racism,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-24890-8,,,2012,Controlled,Regular,Unique Title Requests,1
"Slum Travelers : Ladies and London Poverty, 1860-1920",ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-24906-6,,,2007,Controlled,Regular,Unique Title Requests,1
Against the Law,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-25097-0,,,2007,Controlled,Regular,Unique Title Requests,6
An Intimate Affair,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-25261-5,,,2007,Controlled,Regular,Unique Title Requests,7
Foreigners and Their Food,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-25321-6,,,2011,Controlled,Regular,Unique Title Requests,2
Pandemonium and Parade : Japanese Monsters and the Culture of Yokai,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-25362-9,,,2008,Controlled,Regular,Unique Title Requests,1
Cinderella's Sisters : A Revisionist History of Footbinding,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-25390-2,,,2005,Controlled,Regular,Unique Title Requests,7
Servants of the Dynasty : Palace Women in World History,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-25444-2,,,2008,Controlled,Regular,Unique Title Requests,7
Servants of the Dynasty,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-25444-2,,,2008,Controlled,Regular,Unique Title Requests,5
Kitchens,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-25792-4,,,2008,Controlled,Regular,Unique Title Requests,1
Thing of Beauty : New and Selected Works,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-26002-3,,,2008,Controlled,Regular,Unique Title Requests,2
The Lost Boys of Zeta Psi,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-26059-7,,,2010,Controlled,Regular,Unique Title Requests,1
Public Health Law and Ethics,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-26192-1,,,2010,Controlled,Regular,Unique Title Requests,1
"The Eastern Mediterranean and the Making of Global Radicalism, 1860-1914",ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-26201-0,,,2010,Controlled,Regular,Unique Title Requests,1
Race for Empire,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-26223-2,,,2011,Controlled,Regular,Unique Title Requests,4
Making Japanese Citizens,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-26270-6,,,2010,Controlled,Regular,Unique Title Requests,1
Uncertain Path,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-26557-8,,,2010,Controlled,Regular,Unique Title Requests,1
An Unfinished Republic,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-26736-7,,,2011,Controlled,Regular,Unique Title Requests,1
Enduring Violence : Ladina Women's Lives in Guatemala,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-26767-1,,,2011,Controlled,Regular,Unique Title Requests,2
The Cultural Return,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-26898-2,,,2012,Controlled,Regular,Unique Title Requests,1
The Black Revolution on Campus,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-26922-4,,,2012,Controlled,Regular,Unique Title Requests,45
The Gothic Enterprise,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-26999-6,,,2011,Controlled,Regular,Unique Title Requests,1
The Nature of Race,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-27030-5,,,2011,Controlled,Regular,Unique Title Requests,1
Pricing Beauty,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-27076-3,,,2011,Controlled,Regular,Unique Title Requests,2
Promises I Can Keep,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-27146-3,,,2011,Controlled,Regular,Unique Title Requests,1
"Jack Johnson, Rebel Sojourner",ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-27160-9,,,2012,Controlled,Regular,Unique Title Requests,3
The Complete Poems of Tibullus : An en Face Bilingual Edition,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-27253-8,,,2012,Controlled,Regular,Unique Title Requests,3
The Next American Revolution,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-27259-0,,,2012,Controlled,Regular,Unique Title Requests,1
The Managed Heart,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-27294-1,,,2012,Controlled,Regular,Unique Title Requests,4
The Gnu's World : Serengeti Wildebeest Ecology and Life History,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-27318-4,,,2014,Controlled,Regular,Unique Title Requests,2
Covert Capital : Landscapes of Denial and the Making of U. S. Empire in the Suburbs of Northern Virginia,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-27464-8,,,2013,Controlled,Regular,Unique Title Requests,1
"Fresh Fruit, Broken Bodies",ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-27513-3,,,2013,Controlled,Regular,Unique Title Requests,4
Good Catholics,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-27600-0,,,2014,Controlled,Regular,Unique Title Requests,2
Laughter Out of Place,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-27604-8,,,2013,Controlled,Regular,Unique Title Requests,2
Eurasian,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-27626-0,,,2013,Controlled,Regular,Unique Title Requests,2
The Tonadilla in Performance : Lyric Comedy in Enlightenment Spain,ProQuest,University of California Press,ProQuest Ebook Central,978-0-520-27630-7,,,2013,Controlled,Regular,Unique Title Requests,1
